Date;Symbol;Clos
2024-03-07;ABT;120.32
2024-03-08;ABT;120.36
2024-03-11;ABT;119.6
2024-03-12;ABT;120.16
2024-03-13;ABT;119.57
2024-03-14;ABT;118.26
2024-03-15;ABT;114.92
2024-03-18;ABT;111.89
2024-03-19;ABT;112.6
2024-03-20;ABT;110.95
2024-03-21;ABT;110.96
2024-03-22;ABT;110.02
2024-03-25;ABT;109.47
2024-03-26;ABT;110.95
2024-03-27;ABT;112.92
2024-03-28;ABT;113.1
2024-01-02;ACGL;75.55
2024-01-03;ACGL;76.94
2024-01-04;ACGL;77.47
2024-01-05;ACGL;76.81
2024-01-08;ACGL;77.12
2024-01-09;ACGL;76.15
2024-01-10;ACGL;76.96
2024-01-11;ACGL;77.62
2024-01-12;ACGL;77.69
2024-01-16;ACGL;78.17
2024-01-17;ACGL;78.67
2024-01-18;ACGL;78.96
2024-01-19;ACGL;80.88
2024-01-22;ACGL;80.47
2024-01-23;ACGL;80.34
2024-01-24;ACGL;80.13
2024-01-25;ACGL;79.6
2024-01-26;ACGL;79.9
2024-01-29;ACGL;79.73
2024-01-30;ACGL;80.58
2024-01-31;ACGL;82.43
2024-02-01;ACGL;82.09
2024-02-02;ACGL;83.3
2024-02-05;ACGL;83.66
2024-02-06;ACGL;83.3
2024-02-07;ACGL;84.42
2024-02-08;ACGL;82.76
2024-02-09;ACGL;83.46
2024-02-12;ACGL;83.1
2024-02-13;ACGL;84.06
2024-02-14;ACGL;84.87
2024-02-15;ACGL;87.4
2024-02-16;ACGL;86.11
2024-02-20;ACGL;85.37
2024-02-21;ACGL;84.71
2024-02-22;ACGL;85.82
2024-02-23;ACGL;87.29
2024-02-26;ACGL;87.28
2024-02-27;ACGL;87.22
2024-02-28;ACGL;88.28
2024-02-29;ACGL;87.59
2024-03-01;ACGL;87.17
2024-03-04;ACGL;87.14
2024-03-05;ACGL;87.39
2024-03-06;ACGL;88.82
2024-03-07;ACGL;87.69
2024-03-08;ACGL;87.61
2024-03-11;ACGL;90.31
2024-03-12;ACGL;90.92
2024-03-13;ACGL;91
2024-03-14;ACGL;91.03
2024-03-15;ACGL;91.88
2024-03-18;ACGL;91.4
2024-03-19;ACGL;91.67
2024-03-20;ACGL;92.23
2024-03-21;ACGL;90.69
2024-03-22;ACGL;90.68
2024-03-25;ACGL;90.99
2024-03-26;ACGL;90.59
2024-03-27;ACGL;91.48
2024-03-28;ACGL;92.44
2024-01-02;ACN;344.32
2024-01-03;ACN;335.39
2024-01-04;ACN;334.57
2024-01-05;ACN;334.1
2024-01-08;ACN;337.8
2024-01-09;ACN;340.19
2024-01-10;ACN;342.75
2024-01-11;ACN;345.37
2024-01-12;ACN;353.66
2024-01-16;ACN;351.91
2024-01-17;ACN;352.29
2024-01-18;ACN;358.16
2024-01-19;ACN;362.5
2024-01-22;ACN;365.79
2024-01-23;ACN;368.43
2024-01-24;ACN;367.48
2024-01-25;ACN;370.51
2024-01-26;ACN;369.64
2024-01-29;ACN;371.91
2024-01-30;ACN;369.87
2024-01-31;ACN;362.48
2024-02-01;ACN;369.48
2024-02-02;ACN;371.51
2024-02-05;ACN;368.91
2024-02-06;ACN;363.29
2024-02-07;ACN;365.24
2024-02-08;ACN;367.06
2024-02-09;ACN;370.24
2024-02-12;ACN;366.01
2024-02-13;ACN;361.41
2024-02-14;ACN;369.55
2024-02-15;ACN;370.08
2024-02-16;ACN;368.05
2024-02-20;ACN;361.55
2024-02-21;ACN;359.52
2024-02-22;ACN;369.88
2024-02-23;ACN;375.86
2024-02-26;ACN;376.02
2024-02-27;ACN;376.45
2024-02-28;ACN;376.57
2024-02-29;ACN;373.33
2024-03-01;ACN;379.52
2024-03-04;ACN;382.23
2024-03-05;ACN;375.43
2024-03-06;ACN;379.36
2024-03-07;ACN;385.42
2024-03-08;ACN;376.71
2024-03-11;ACN;371.78
2024-03-12;ACN;379.01
2024-03-13;ACN;377.26
2024-03-14;ACN;376.75
2024-03-15;ACN;373.16
2024-03-18;ACN;371.23
2024-03-19;ACN;376.62
2024-03-20;ACN;378.97
2024-03-21;ACN;343.7
2024-03-22;ACN;336.2
2024-03-25;ACN;332.53
2024-03-26;ACN;335.09
2024-03-27;ACN;339.63
2024-03-28;ACN;345.27
2024-01-02;ADBE;580.07
2024-01-03;ADBE;571.79
2024-01-04;ADBE;567.05
2024-01-05;ADBE;564.6
2024-01-08;ADBE;580.55
2024-01-09;ADBE;586.2
2024-01-10;ADBE;591.03
2024-01-11;ADBE;597.49
2024-01-12;ADBE;596.54
2024-01-16;ADBE;597.68
2024-01-17;ADBE;596.1
2024-01-18;ADBE;593.7
2024-01-19;ADBE;611.55
2024-01-22;ADBE;603.59
2024-01-23;ADBE;597.18
2024-01-24;ADBE;606.48
2024-01-25;ADBE;622.58
2024-01-26;ADBE;613.93
2024-01-29;ADBE;630.23
2024-01-30;ADBE;627.96
2024-01-31;ADBE;617.78
2024-02-01;ADBE;627.91
2024-02-02;ADBE;634.76
2024-02-05;ADBE;630.5
2024-02-06;ADBE;607.14
2024-02-07;ADBE;615.85
2024-02-08;ADBE;615.86
2024-02-09;ADBE;627.21
2024-02-12;ADBE;611.84
2024-02-13;ADBE;601.89
2024-02-14;ADBE;604.66
2024-02-15;ADBE;590.44
2024-02-16;ADBE;546.66
2024-02-20;ADBE;541.91
2024-02-21;ADBE;538.52
2024-02-22;ADBE;537.57
2024-02-23;ADBE;553.44
2024-02-26;ADBE;560.48
2024-02-27;ADBE;552.49
2024-02-28;ADBE;551.82
2024-02-29;ADBE;560.28
2024-03-01;ADBE;570.93
2024-03-04;ADBE;567.94
2024-03-05;ADBE;544.84
2024-03-06;ADBE;543.09
2024-03-07;ADBE;556.04
2024-03-08;ADBE;551.69
2024-03-11;ADBE;560.42
2024-03-12;ADBE;579.14
2024-03-13;ADBE;573.55
2024-03-14;ADBE;570.45
2024-03-15;ADBE;492.46
2024-03-18;ADBE;513.86
2024-03-19;ADBE;521.19
2024-03-20;ADBE;519.14
2024-03-21;ADBE;511.25
2024-03-22;ADBE;499.52
2024-03-25;ADBE;507.23
2024-03-26;ADBE;507.6
2024-03-27;ADBE;504.4
2024-03-28;ADBE;504.6
2024-01-02;ADI;191.91
2024-01-03;ADI;187.33
2024-01-04;ADI;184.46
2024-01-05;ADI;184.94
2024-01-08;ADI;187.35
2024-01-09;ADI;188.12
2024-01-10;ADI;186.74
2024-01-11;ADI;187.33
2024-01-12;ADI;186.73
2024-01-16;ADI;186.17
2024-01-17;ADI;183.83
2024-01-18;ADI;188.33
2024-01-19;ADI;193.09
2024-01-22;ADI;195.61
2024-01-23;ADI;199.63
2024-01-24;ADI;196.59
2024-01-25;ADI;195.6
2024-01-26;ADI;192.26
2024-01-29;ADI;195.5
2024-01-30;ADI;193.06
2024-01-31;ADI;190.7
2024-02-01;ADI;190.35
2024-02-02;ADI;190.44
2024-02-05;ADI;190.9
2024-02-06;ADI;188.07
2024-02-07;ADI;190.31
2024-02-08;ADI;192.38
2024-02-09;ADI;193.34
2024-02-12;ADI;192.37
2024-02-13;ADI;183.1
2024-02-14;ADI;184.71
2024-02-15;ADI;185.92
2024-02-16;ADI;186.61
2024-02-20;ADI;187.76
2024-02-21;ADI;192.05
2024-02-22;ADI;190.25
2024-02-23;ADI;188.47
2024-02-26;ADI;187.38
2024-02-27;ADI;187.44
2024-02-28;ADI;186.14
2024-02-29;ADI;190.16
2024-03-01;ADI;194.47
2024-03-04;ADI;193.89
2024-03-05;ADI;189.05
2024-03-06;ADI;190.94
2024-03-07;ADI;197.45
2024-03-08;ADI;195.16
2024-03-11;ADI;197.42
2024-03-12;ADI;198.41
2024-03-13;ADI;197.81
2024-03-14;ADI;193.66
2024-03-15;ADI;194.43
2024-03-18;ADI;190.46
2024-03-19;ADI;189.79
2024-03-20;ADI;193.55
2024-03-21;ADI;194.38
2024-03-22;ADI;192.74
2024-03-25;ADI;189.87
2024-03-26;ADI;188.21
2024-03-27;ADI;192.56
2024-03-28;ADI;197.01
2024-01-02;ADM;72.08
2024-01-03;ADM;72.44
2024-01-04;ADM;71.08
2024-01-05;ADM;70.15
2024-01-08;ADM;70.39
2024-01-09;ADM;70.01
2024-01-10;ADM;68.68
2024-01-11;ADM;68.82
2024-01-12;ADM;68.91
2024-01-16;ADM;68.45
2024-01-17;ADM;68.27
2024-01-18;ADM;68.1
2024-01-19;ADM;67.55
2024-01-22;ADM;51.21
2024-01-23;ADM;51.82
2024-01-24;ADM;52.14
2024-01-25;ADM;50.9
2024-01-26;ADM;51.56
2024-01-29;ADM;54.43
2024-01-30;ADM;55.48
2024-01-31;ADM;55.06
2024-02-01;ADM;56.23
2024-02-02;ADM;55.17
2024-02-05;ADM;52.46
2024-02-06;ADM;52.87
2024-02-07;ADM;52.88
2024-02-08;ADM;52.7
2024-02-09;ADM;53.05
2024-02-12;ADM;53.74
2024-02-13;ADM;52.47
2024-02-14;ADM;53.27
2024-02-15;ADM;54.31
2024-02-16;ADM;53.65
2024-02-20;ADM;53.4
2024-02-21;ADM;53.9
2024-02-22;ADM;53.7
2024-02-23;ADM;53.45
2024-02-26;ADM;53.17
2024-02-27;ADM;52.79
2024-02-28;ADM;53.01
2024-02-29;ADM;53.11
2024-03-01;ADM;54.24
2024-03-04;ADM;53.22
2024-03-05;ADM;53.46
2024-03-06;ADM;54.15
2024-03-07;ADM;54.25
2024-03-08;ADM;54.81
2024-03-11;ADM;54.91
2024-03-12;ADM;57.07
2024-03-13;ADM;58.27
2024-03-14;ADM;58.21
2024-03-15;ADM;59.31
2024-03-18;ADM;60.41
2024-03-19;ADM;61.03
2024-03-20;ADM;61.31
2024-03-21;ADM;62.47
2024-03-22;ADM;62
2024-03-25;ADM;62.51
2024-03-26;ADM;61.82
2024-03-27;ADM;62.99
2024-03-28;ADM;62.81
2024-01-02;ADP;230.75
2024-01-03;ADP;229.85
2024-01-04;ADP;230.99
2024-01-05;ADP;232.52
2024-01-08;ADP;234.05
2024-01-09;ADP;232.53
2024-01-10;ADP;232.6
2024-01-11;ADP;232.65
2024-01-12;ADP;233.25
2024-01-16;ADP;232.59
2024-01-17;ADP;232.7
2024-01-18;ADP;233.38
2024-01-19;ADP;235.51
2024-01-22;ADP;236.66
2024-01-23;ADP;237.61
2024-01-24;ADP;235.71
2024-01-25;ADP;234.01
2024-01-26;ADP;233.4
2024-01-29;ADP;234.99
2024-01-30;ADP;235.86
2024-01-31;ADP;242.97
2024-02-01;ADP;244.25
2024-02-02;ADP;245.96
2024-02-05;ADP;245.44
2024-02-06;ADP;247.94
2024-02-07;ADP;247.41
2024-02-08;ADP;248.21
2024-02-09;ADP;247.13
2024-02-12;ADP;247.21
2024-02-13;ADP;246.73
